fold,epoch,train_mse,val_mse
1,1,0.9961508586243378,0.9867416823577695
1,2,0.9429863465332224,0.9554132372039316
1,3,0.9174148166158216,0.9460648395214568
1,4,0.8865867440120716,0.8770112334301685
1,5,0.7376012108952719,0.7882390306932477
1,6,0.6671804220846974,0.7510303930025969
1,7,0.6385018557572477,0.7191624455707764
1,8,0.6163226873578775,0.7146332454488582
1,9,0.6061393100966871,0.6891181054993373
1,10,0.5876138221543855,0.6751195232206694
1,11,0.5737849423886173,0.6550668883154133
1,12,0.5580965398139679,0.6470307920854801
1,13,0.5451308303680407,0.624636730435273
1,14,0.5288375497752059,0.6138144216982312
1,15,0.5101368350182345,0.5933479929376391
1,16,0.4914384465031616,0.5652797554880548
1,17,0.48095795463392466,0.5592544468651361
1,18,0.4688476787775502,0.5406279530630597
1,19,0.4596488276772597,0.5296930742360311
1,20,0.449811611923233,0.5212114579386646
1,21,0.442061720935699,0.5130923385181057
1,22,0.43028672884132085,0.50754204125391
1,23,0.4264039890829188,0.4935337850026585
1,24,0.4185256932823811,0.4944973653709959
1,25,0.40874194118600504,0.48791120162080776
1,26,0.40141502207814606,0.47880080410919984
1,27,0.3940835043556147,0.47285203760072536
1,28,0.38830432728290754,0.46627447428755664
1,29,0.37987861099226916,0.4635629204993482
1,30,0.3722544014011898,0.4519627516825685
1,31,0.3688726951984852,0.4611056842379433
1,32,0.3615802159190069,0.45263724658787363
1,33,0.3587148309869286,0.45654169507940284
1,34,0.3537528037579151,0.44678880960485456
1,35,0.34627678644389687,0.4523341073961956
1,36,0.34252670672959173,0.44291684365975487
1,37,0.33924480213615205,0.448813957082062
1,38,0.33706976747506046,0.44165782502879336
1,39,0.3330945125471695,0.44876621454614307
1,40,0.33025344633272924,0.44267490840908214
1,41,0.32635317428118576,0.44790763426873015
1,42,0.32341341413977187,0.4470660382754423
1,43,0.3183641754769522,0.44407147299944055
1,44,0.3162146997797475,0.44449367682166896
1,45,0.3149954542536,0.44140111351541117
1,46,0.31112985092461126,0.44376324155477664
1,47,0.3082956555245828,0.4409815744341047
1,48,0.30650415435033246,0.4453498602990625
1,49,0.3040599053183869,0.44675118258480667
1,50,0.30390599423135534,0.4444525411149619
